Customer_ID,Customer_Name,Email,Phone_Number
e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,Dominic Buchanan,margaret97@example.com,259.603.6134
fa3ca35a-5540-404b-a7eb-9001cdcbd840,Daniel Allen,angela55@example.com,+1-869-659-4272x982
7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,Daniel Schmidt,wayne59@example.org,292.840.0975x724
4b9b409c-19f2-41c0-bc7c-6556e0647ebb,John Gonzalez,qsherman@example.com,+1-643-561-3912x262
81b513ad-5c02-48cf-bff0-39e1440c4d22,Amber Benitez,derek85@example.com,3424148376
7f6608ca-b11e-497f-9421-34ee62f9e220,Sandra Williams,xblack@example.org,833-392-3750x99267
de08452f-8820-4b7e-a394-dba5520a9ce7,Sydney Johnson,trevorbowers@example.org,824-668-9191
e1ef782d-6bd8-4880-ae57-f6638c7309fc,Mary Douglas,kyle68@example.com,+1-683-714-3681
df6652a7-8923-431c-b49b-f57138dc1130,Mrs. Courtney Lawson,mcgeechristina@example.net,+1-261-681-8748x0788
ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,Eric Ford,briannadean@example.org,+1-269-289-6161
2a5aa693-90a5-487d-bed5-709577862299,Joseph Martin,diane14@example.org,001-700-979-7231x93087
6c01445d-e4d3-4560-99ee-4a377d042353,Justin Mullen,chambersalicia@example.net,612-529-7477x25482
ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,James Green,kellycandace@example.com,(898)706-3931
3642f2c6-9513-4258-851a-1ca383020a5e,Stephanie Garcia,nicholas86@example.net,001-515-658-2264
d345f895-73fe-4d1f-9119-090e3e22cf40,Diane Brown,alexanderthomas@example.com,245-597-6001x88072
105dedd4-90ce-48ab-8993-d206ca55f9e4,Patricia Carter,mnelson@example.net,(333)659-7851x16303
e919ab84-fdc0-4e10-938d-56418db183ab,Lisa Nelson,xharper@example.org,001-236-629-1880
d6e4e518-cf57-443a-bd52-6e86fbcc566e,Jasmine Cruz,kylenorman@example.com,537.897.4689
766c89fa-2f04-4e88-b81a-732161a8c8cc,Shannon Rodriguez,gwalsh@example.com,874.512.5898x164
1a547842-3a19-4957-bfd0-47957f49d7ac,Carol Moore,williamwest@example.com,458-731-6189x123
7e1e6a0d-dc49-4d83-8e35-ebb3e62d6bbf,Jennifer Rodriguez,randydyer@example.net,+1-357-530-7289x103
a9b7151b-427a-4743-86ff-e810bf475d7d,Kimberly Torres,gordonkatherine@example.net,(315)231-6007
fcd095ba-9da7-4877-89e8-ffbf1d694eab,Ricardo Mendoza,qmeadows@example.org,7602861052
97f80ead-3113-4cbc-b3e6-da7c182c1bf8,Monica Holmes,david33@example.org,517-796-3040x5556
35dd03a3-d610-48bb-bf55-2e91af1e49b0,Mark Brady,maxreyes@example.net,+1-303-625-1760x74653
6ac20f4e-bd84-4ef3-a10f-0d9286d0be2e,Andrew Rodriguez,matthewward@example.net,381.685.3371x40478
d2a42dba-d1c6-48fb-8570-5502e3df3d49,Melissa Glenn,sgalvan@example.com,705-986-2149x032
5abc78f2-f204-46f6-98f6-68def2561faf,Kristin Herrera,hgonzalez@example.net,001-806-725-0953x098
4296123a-900d-439a-87c0-5525cadcd900,David Estrada,tmartinez@example.org,+1-751-600-4376x4785
58190f47-3d69-4be5-84c1-1779b39e7d09,Mr. Ryan Moore Jr.,kcunningham@example.net,508.640.2112x74967
893fc836-422b-4d37-acf7-ccb08b7ae775,Holly Jones,blang@example.com,+1-471-881-2109x34962
84c25e63-2b5d-4ac7-aec6-3ae95b02afd2,Billy Mills,guerreroadam@example.net,+1-306-439-1399x0241
7dace790-bced-4bb6-b388-068559ccd92a,Edward Elliott,hwall@example.org,430.201.6846
59e13e12-6dbb-449c-b291-f63c47eece7d,Kathryn Haas,lesterbryan@example.net,(478)499-4505x3755
4bdbee05-f517-4ebb-9bd0-ec1f071f9e5b,Jessica Brewer,richard54@example.org,(715)245-5797
cb237dc8-8156-4ee7-ae50-9d7c8621e150,Tim Gonzalez,harrisjulie@example.com,001-444-792-8305x920
f053d94e-fac2-40e3-9241-c56673d29984,Samantha Cortez MD,panderson@example.com,6745652741
5caed76e-f5bd-4adc-99b7-afb4b8a7f58c,Patricia Nguyen,rosejoseph@example.net,(651)667-9355x205
5e08d625-4621-4d7c-b164-90486adce4b6,Katherine Cooper,guerreroamanda@example.net,740-210-3364x501
037a19a4-2c4e-4ae1-abee-e2c2c2a29e98,Derek Cobb,zimmermanchelsea@example.org,546.700.2470x30324
110b54d1-5584-4c4e-88c9-ebdbd0147827,Kevin Wade,cheryl45@example.net,+1-414-327-6631x4283
56c4bfa9-94e2-4d89-b992-7fbcf9f912ee,Melissa Hughes,uking@example.com,395-909-7465x37184
cc607ff7-261b-4f0a-832a-c8ed7fb31015,Lindsay Wilson,duranjoan@example.com,654-866-2345
00d78252-3e0a-4340-9779-6a5ab4a2144f,Levi Hall,owheeler@example.net,6479059434
dc4fe353-c432-4318-a660-3566b14c81c1,Lynn Smith DDS,shawnharris@example.com,+1-796-732-5288x2522
5a2396f1-7faf-43f8-a7f7-5188ca2d993a,Curtis Weaver,matthew52@example.com,297-973-4529x39996
